AAA,"Company that does tow loops?"
AAA,"Dead battery... who ya gonna call?"
AAA,"Great ""Three R's"" report card?"
AAA,"Group of towers?"
AAA,"Like a bond you can buy with security?"
AAA,"Org. that can find a way?"
AAA,"Org. that manages blowouts?"
AAA,"Org. that'll find a way?"
AAA,"Popular tower?"
AAA,"The Club?"
AAA,"Tower for the tired?"
AAA,"Towers on the road?"
AAA,"Travel agcy.?"
AAAA,"Fonzi's report card, so he says?"
AAAA,"Honor student's grades?"
AAAA,"Response to a ghost sighting?"
AAACELL,"Small source of juice?"
AAAMILNE,"Children's author and roadside helper?"
AAAPAPER,"Minor league contract?"
AAAS,"Remote power sources?"
AABATTERY,"Remote power source?"
AACELLS,"Remote drivers?"
AACID,"Something that might work on a full stomach?"
AAH,"A patient response?"
AAH,"Depressing comment?"
AAH,"Depressing reaction?"
AAH,"Depressing reply?"
AAH,"Human purr?"
AAH,"One way to spell relief?"
AAH,"Patient reply?"
AAH,"Physical response?"
AAH,"Physical sound?"
AAH,"Sound from a bath after a cold day's sailing?"
AAH,"What your doctor wants to hear?"
AAHED,"Followed a doctor's order?"
AAHED,"Sounded relaxed?"
AAMESIOWA,"Willie of ""Charles in Charge"" taking over an entire state?"
AAMILNE,"Children's author trying to dry out?"
AAMILNE,"Creator of a bear market?"
AAMILNE,"Man of letters?"
AANDP,"Food chain?"
AAR,"Alpine flower?"
AARCTIC,"Pole position?"
AARDVARK,"First animal?"
AARDVARK,"Picnickers' pet?"
AARE,"Flower in Bern?"
AARON,"A Burr in Hamilton's side?"
AARON,"First first name?"
AARON,"First name?"
AARONBURRO,"Biblical ass?"
AARONBURRO,"Donkey in early American politics?"
AARONBURROW,"Hiding place for a home run hitter?"
AARONBURROW,"Homer king's dugout?"
AARONS,"Whose homerun record was not broken in 1998?"
AARP,"50s group?"
AARP,"Mature org.?"
AARP,"Org. for mature audiences only?"
AARP,"Org. for non-workers?"
AARPVPOKSBYOB,"Senior group's second-in-command permits a party with self-provided alcohol?"
AAS,"Remote pair?"
AASAAA,"Writer Milne's motor club?"
AAWFORTHECAMERA,"Make faces?"
ABA,"Case worker's org.?"
ABA,"Caseworker's assn.?"
ABA,"Defense gp.?"
ABA,"Defense org.?"
ABA,"Grp. for a defensive person?"
ABA,"Grp. making case studies?"
ABA,"Grp. of objectors?"
ABA,"Letters of attorney?"
ABA,"Org. for arguers?"
ABA,"Practice grp.?"
ABA,"Suit makers' org.?"
ABA,"Suit-making gp.?"
ABABA,"Addis addition?"
ABACI,"Bead counters?"
ABACI,"Beaded adders?"
ABACI,"Early beadworks?"
ABACI,"Eastern summers?"
ABACI,"Nonvenomous adders?"
ABACI,"Summers in the East?"
ABACI,"Summers in the Far East?"
ABACI,"Summers of old?"
ABACI,"They give sum help?"
ABACI,"Wooden counters?"
ABACK,"One way to be taken?"
ABACUS,"Counter-intuitive calculator?"
ABACUS,"Gadget you can count on?"
ABACUS,"Problem solver?"
ABACUS,"Tool that's counter-productive?"
ABAFT,"Sailor's back?"
ABALONEBALONEY,"Molluscan malarkey?"
ABANDONEDSHEEP,"Little Bo-Peep's charges?"
ABANDONSHEP,"1957 Tyrone Power film about a dog that's left behind?"
ABANDONSHIP,"Avoid that sinking feeling?"
ABANDONSHIP,"Go out of the trucking business?"
ABANDONSHIP,"Source of cruise music?"
ABANDSHIP,"Musical group's regatta entry?"
ABANFORALLSEASONS,"Flick about Prohibition?"
ABAR,"What this guy walks into?"
ABARDINFLUENCE,"New book about Christopher Marlowe?"
ABARDINFLUENCE,"What Shakespeare professors are to their students?"
ABARDSEYEVIEW,"What a poet gets from a plane?"
ABARDSEYEVIEW,"What one gets reading poetry?"
ABASERUNNER,"Blame the messenger?"
ABASH,"Embarrass or big party?"
ABAT,"What all great hitters have?"
ABBA,"Reversible rockers?"
ABBA,"Rhyme scheme for Mr. Eban?"
ABBANICEDAY,"Swedish band's good time?"
ABBE,"French friar?"
ABBE,"One who follows orders?"
ABBESS,"Big sister?"
ABBESSES,"Big sisters?"
ABBEY,"Superior residence?"
ABBEYALLEY,"Monastery back street?"
ABBEYRHODA,"Sitcom title character in a nuns' residence?"
ABBEYROADIE,"Dude who carries monks' guitars?"
ABBIENORMAL,"Wacky woman?"
ABBOT,"Big brother?"
ABBOT,"Brother's keeper?"
ABBOT,"Brothers' keeper?"
ABBOT,"Man with a mission?"
ABBOT,"One giving prior consent?"
ABBOT,"Superior title?"
ABBOTS,"Big brothers?"
ABBOTS,"Brothers' keepers?"
ABBOTS,"Ones overseeing monk-y business?"
ABBOTS,"Overseers of monk-y business?"
ABBR,"Short letters?"
ABBR,"Shortened, like this answer?"
ABBREVIATED,"Short-term?"
ABBY,"""Dear"" lady?"
ABBY,"""Dear"" one?"
ABBY,"""Dear"" woman?"
ABBY,"Apt name for a nun?"
ABBY,"Dear columnist?"
ABBY,"Dear one?"
ABBY,"Dear woman?"
ABC,"""Lost"" letters?"
ABC,"""Lost"" tribe?"
ABC,"Basic ingredient to all four theme entries?"
ABC,"Early run?"
ABC,"Easy comparison?"
ABC,"Easy letters?"
ABC,"Easy threesome?"
ABC,"English trio?"
ABC,"First steps to reading?"
ABC,"First string?"
ABC,"Letter openers?"
ABC,"Letters of introduction?"
ABC,"Pie equivalent?"
ABC,"Preschool group?"
ABC,"Soup ingredients?"
ABC,"Standard of ease?"
ABCALLOWAY,"Entertainer who likes to exercise his stomach?"
ABCD,"Free verse rhyme scheme?"
ABCD,"Introductory letters?"
ABCD,"Letter openers?"
ABCD,"Letters of introduction?"
ABCD,"Starting lineup?"
ABCDDAY,"Crunch time for 1st graders?"
ABCDE,"Alphabet openers?"
ABCDE,"First five on the school board?"
ABCDE,"Opening line?"
ABCDEF,"Leading letters?"
ABCLETELEVISION,"Network merger between an American company and a French one?"
ABCRUNCH,"Six-pack enhancer?"
ABCS,"Block letters?"
ABCS,"Initial education?"
ABCS,"Initial lessons?"
ABCS,"Kid stuff?"
ABCS,"Starter kit?"
ABDOMENS,"Assimilating body parts?"
ABDUCTION,"Taking badly?"
ABDUCTTAPE,"Steal office supplies?"
ABDUL,"Follower of Kareem?"
ABE,"An honest man?"
ABE,"Copper head?"
ABE,"Copperhead?"
ABE,"Honest President?"
ABE,"Honest fellow?"
ABE,"Honest guy?"
ABE,"Honest man?"
ABE,"The fin man?"
ABEARLEADER,"Mike Ditka, e.g.?"
ABEAUTIFULMINE,"Film about striking gold?"
ABEAUTIFULRIND,"Still life part?"
ABED,"Under cover?"
ABED,"Undercover?"
ABEDOFROSES,"Sleeping with flowers?"
ABEE,"Bonnet pest?"
ABEL,"First down?"
ABEL,"First to go?"
ABEL,"First to say ""Oh, brother!""?"
ABEL,"Garden party?"
ABEL,"Handyman's name?"
ABEL,"Member of the first family?"
ABEL,"Person after the third person?"
ABEL,"Target of Cain's mutiny?"
ABEL,"The third man?"
ABELBODIED,"Fit for Eden?"
ABELBODIED,"Physically no match for Cain?"
ABELINCOLN,"Emancipator from Nebraska?"
ABELINCOLN,"Union man?"
ABELINCOLNVERB,"President's definition of 'is'?"
ABELLEFORADANO,"Hersey story about a small town debutante?"
ABELLERNER,"Solver getting the knack of it?"
ABELLPEPPERFORADANO,"John Hersey cookbook?"
ABELSEAMEN,"Genesis military force?"
ABERRANT,"McEntire (spelled backward) + Tirade = ?"
ABES,"Copper heads?"
ABES,"Honest ones?"
ABET,"Be a bad helper?"
ABET,"Be an accomplice or wager?"
ABET,"Be guilty by association?"
ABET,"Be on the lookout for?"
ABET,"Drive a getaway car?"
ABET,"Drive a thief away?"
ABET,"Drive away, as a thief?"
ABET,"Help badly?"
ABET,"Help hold up?"
ABET,"Help the wrong way?"
ABET,"Keep an eye out for?"
ABET,"Look out for?"
ABET,"Obey the lawbreaker?"
ABET,"Put a hood up?"
ABET,"Say ""They went that-a-way"" when they didn't, say?"
ABETS,"Drives crookedly?"
ABETS,"Emulates a fence?"
ABETS,"Helps with a con job?"
ABETS,"Sticks up for, maybe?"
ABETSKRAMER,"Gives a hand to Seinfeld's neighbor?"
ABETTED,"Helped someone cover up?"
ABETTED,"Looked out for?"
ABETTERMUSETRAP,"New device that can capture Euterpe?"
ABETTHEFARM,"Serve as ranch-hand?"
ABETTING,"Bank job action?"
ABEWITHME,"Mary Todd Lincoln's situation?"
ABHORRENT,"Detestable/tenants' motto?"
ABHORRER,"One who can't stand?"
ABHORSDOEUVRES,"Hates appetizers?"
ABIDE,"Might aid be needed to endure?"
ABIDELINCOLN,"What some Omaha residents can't do?"
ABIE,"Rose lover?"
ABIES,"Whose Irish Rose?"
ABIES,"Whose Rose?"
ABIESIRISHROAST,"Play about a guy ordering beef from Dublin?"
ABIGTOWNINGERMANY,"John Le Carre book about the boom of Bonn?"
ABILLINEQUITY,"Holden of an actors' org.?"
